time/iterations,rollout/ep_rew_mean,time/fps,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,train/loss,train/explained_variance,curriculum/max_steps,train/ent_coef,train/learning_rate,curriculum/stage_timesteps,train/entropy_loss,train/approx_kl,train/policy_gradient_loss,train/value_loss,train/clip_range,curriculum/grid_size,curriculum/obs_quantity,train/n_updates,curriculum/stage,train/clip_fraction,eval/full_coverage_rate,eval/mean_ep_length,eval/stage_timesteps,eval/stage,eval/std_ep_length,eval/deterministic,eval/std_reward,eval/mean_reward
,,,,,,0.029966644942760468,0.7566790580749512,,,0.0001,,-0.2040209037065506,0.0044488674,-0.0015038012806326152,0.0743764702603221,0.2,,,305,,0.042890625,0.93,37.33,307200,1,44.72293706813093,1,3.0013638746477436,6.858460199832916
1,7.500187397003174,1386,317440,31.17,3,,,200,0.0010000000000000009,,307200,,,,,,5,3,,1,,,,,,,,,
2,7.519420623779297,1154,322560,31.78,8,0.019655387848615646,0.6877234578132629,,,0.0001,,-0.1766582928597927,0.0038726523,-0.002367747691459954,0.06196602750569582,0.2,,,310,,0.039609375,,,,,,,,
3,7.321966171264648,1114,327680,34.82,13,0.028676314279437065,0.6790037751197815,,,0.0001,,-0.18715169355273248,0.004923868,-0.001379712810739875,0.071713851056993,0.2,,,315,,0.05453125,,,,,,,,
4,7.412545204162598,1108,332800,31.44,18,0.03685280680656433,0.7533578276634216,,,0.0001,,-0.21361889719963073,0.010637189,-0.0033509815391153095,0.08663347914814949,0.2,,,320,,0.0628515625,,,,,,,,
5,7.610574245452881,1094,337920,29.21,23,0.031616684049367905,0.8197312355041504,,,0.0001,,-0.20519427791237832,0.0043346863,-0.0023981318739242853,0.10879748675972223,0.2,,,325,,0.044296875,,,,,,,,
6,7.3336358070373535,1093,343040,34.72,28,0.04781674966216087,0.6575372815132141,,,0.0001,,-0.16426727980375289,0.004717865,-0.0010561115154996514,0.08683304820209742,0.2,,,330,,0.0384375,,,,,,,,
7,7.493659019470215,1088,348160,30.84,32,0.046020038425922394,0.7328110933303833,,,0.0001,,-0.1779113644361496,0.012544209,-0.0003936132229864597,0.09605723790824414,0.2,,,335,,0.0573046875,,,,,,,,
8,7.4648637771606445,1085,353280,32.0,37,0.03285234421491623,0.639456033706665,,,0.0001,,-0.16767108410596848,0.004771692,-6.958480924367904e-05,0.07968318823724985,0.2,,,340,,0.049140625,,,,,,,,
9,7.5763750076293945,1084,358400,30.02,42,0.0757610872387886,0.6717054843902588,,,0.0001,,-0.1780707222223282,0.0043537305,0.00010153224691748619,0.10027729921042919,0.2,,,345,,0.04578125,,,,,,,,
10,7.527529239654541,1080,363520,31.05,47,0.0224315132945776,0.6845921874046326,,,0.0001,,-0.15417808763682841,0.0042598075,0.0013037145463749766,0.07744514886289836,0.2,,,350,,0.039375,,,,,,,,
,,,,,,0.0235755555331707,0.6596341133117676,,,0.0001,,-0.15067965105175973,0.00696127,-0.003783729551360011,0.0795654620975256,0.2,,,355,,0.046484375,0.9,43.16,358400,1,52.40929688519014,1,3.4731769110799697,6.518249955177307
1,7.614892482757568,1510,368640,28.01,3,,,200,0.0010000000000000009,,358400,,,,,,5,3,,1,,,,,,,,,
2,7.464540481567383,1224,373760,31.87,8,0.023644808679819107,0.6576246023178101,,,0.0001,,-0.13579563915729523,0.0052799224,0.0002267542900517583,0.0518242846056819,0.2,,,360,,0.036328125,,,,,,,,
3,7.595518112182617,1160,378880,29.91,13,0.038095444440841675,0.7144904136657715,,,0.0001,,-0.16269053027033806,0.0072186114,0.0005000779451802373,0.06338723104447126,0.2,,,365,,0.0501953125,,,,,,,,
4,7.619244575500488,1130,384000,28.47,18,0.021793629974126816,0.6318648457527161,,,0.0001,,-0.14988840311765672,0.0058557186,-0.0040869026165455576,0.057795490324497226,0.2,,,370,,0.0443359375,,,,,,,,
5,7.427374839782715,1119,389120,33.62,22,0.022922853007912636,0.7699528932571411,,,0.0001,,-0.1462754485756159,0.0040424992,-0.0018660963932052256,0.04891731344163418,0.2,,,375,,0.033671875,,,,,,,,
6,7.621301174163818,1108,394240,27.69,27,0.04204849153757095,0.7133744955062866,,,0.0001,,-0.16882114112377167,0.005367224,-0.000833369642496109,0.06893999010324478,0.2,,,380,,0.044140625,,,,,,,,
7,7.620295524597168,1096,399360,28.12,32,0.02943059615790844,0.7474515438079834,,,0.0001,,-0.1567144726216793,0.0076060183,0.0016017713164910674,0.06741661828011275,0.2,,,385,,0.0476171875,,,,,,,,
8,7.575244903564453,1094,404480,29.83,37,0.03303476423025131,0.6669240593910217,,,0.0001,,-0.1511520553380251,0.004259551,-0.0016543807461857796,0.07082469284534454,0.2,,,390,,0.042578125,,,,,,,,
9,7.640545845031738,1094,409600,27.36,42,0.023701105266809464,0.711931586265564,,,0.0001,,-0.15148935541510583,0.0058553717,-0.001951324655674398,0.06487965814769268,0.2,,,395,,0.0365625,,,,,,,,
10,7.465017318725586,1090,414720,31.03,46,0.0042519643902778625,0.6530897617340088,,,0.0001,,-0.13665484264492989,0.006528663,-0.002358249053359032,0.04488442739471793,0.2,,,400,,0.039453125,,,,,,,,
,,,,,,0.01615189202129841,0.7049668431282043,,,0.0001,,-0.1488470084965229,0.0046813786,0.0008976467838510871,0.05272977661341429,0.2,,,405,,0.04171875,0.94,35.8,409600,1,41.5870172048922,1,2.744853775207482,6.986431787014007
1,7.562733173370361,1433,419840,29.81,3,,,200,0.0010000000000000009,,409600,,,,,,5,3,,1,,,,,,,,,
2,7.488290786743164,1304,424960,30.87,7,0.03392726182937622,0.8113371133804321,,,0.0001,,-0.15420279160141945,0.005392772,-0.0035212648287415503,0.053702637702226635,0.2,,,410,,0.04828125,,,,,,,,
3,7.473835468292236,1309,430080,31.03,11,0.038137152791023254,0.7879459857940674,,,0.0001,,-0.18810207039117813,0.0055793086,-0.003514451584778726,0.09756777979433537,0.2,,,415,,0.0425390625,,,,,,,,
4,7.5882391929626465,1221,435200,29.3,16,0.036678969860076904,0.6765110492706299,,,0.0001,,-0.17605874225497245,0.007541132,-0.002926421845331788,0.0964042704924941,0.2,,,420,,0.05109375,,,,,,,,
5,7.596102237701416,1175,440320,29.54,21,0.029421115294098854,0.677151083946228,,,0.0001,,-0.14495655551552772,0.0050329757,0.0004257264267653227,0.05999182809144259,0.2,,,425,,0.03953125,,,,,,,,
6,7.383283615112305,1111,445440,32.74,27,0.008723780512809753,0.6440683603286743,,,0.0001,,-0.15032770961523056,0.005202666,-0.0007479236414656043,0.04386161729693413,0.2,,,430,,0.0473828125,,,,,,,,
7,7.436978340148926,1086,450560,32.76,32,0.02471909485757351,0.7311233282089233,,,0.0001,,-0.16345060870051384,0.004858141,5.616986658424139e-05,0.05586692113429308,0.2,,,435,,0.0450390625,,,,,,,,
8,7.612954139709473,1077,455680,28.4,38,0.04931323602795601,0.7275762557983398,,,0.0001,,-0.1836571940779686,0.0046917796,-0.001933246562257409,0.08329495280981064,0.2,,,440,,0.048359375,,,,,,,,
9,7.572732925415039,1067,460800,30.21,43,0.03199189901351929,0.6978294253349304,,,0.0001,,-0.13406353786587716,0.0051350826,-0.002191670925822109,0.054150283373892306,0.2,,,445,,0.0361328125,,,,,,,,
10,7.59942626953125,1069,465920,29.59,47,0.015479188412427902,0.6424509286880493,,,0.0001,,-0.1289328821003437,0.0050054165,-0.00475680438335985,0.04179576713591814,0.2,,,450,,0.0440625,,,,,,,,
,,,,,,0.013172960840165615,0.7622779607772827,,,0.0001,,-0.13997270330786704,0.00783162,-0.002350866401102394,0.044565900433808564,0.2,,,455,,0.03796875,0.89,44.38,460800,1,54.78645453029425,1,3.851465079121523,6.328852479457855
1,7.4580230712890625,2123,471040,30.76,2,,,200,0.0010000000000000009,,460800,,,,,,5,3,,1,,,,,,,,,
2,7.591046333312988,1705,476160,29.04,6,0.051289014518260956,0.7165970206260681,,,0.0001,,-0.16492350231856107,0.008619331,-0.001232570898719132,0.07242885031737387,0.2,,,459,,0.051025390625,,,,,,,,
3,7.574887752532959,1478,481280,30.2,10,0.01135472021996975,0.7127729654312134,,,0.0001,,-0.14393136255443095,0.005465747,-0.0022306771157309412,0.06371355231851339,0.2,,,464,,0.0384375,,,,,,,,
