time/iterations,time/fps,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,train/clip_range,train/ent_coef,train/clip_fraction,train/explained_variance,curriculum/preferred_eval_mode,train/stage_learning_rate,train/loss,train/entropy_loss,curriculum/max_steps,curriculum/obs_quantity,train/learning_rate,curriculum/stage_timesteps,train/n_updates,train/policy_gradient_loss,train/approx_kl,train/value_loss,curriculum/grid_size,curriculum/stage,eval/full_coverage_rate,eval/mean_ep_length,eval/stage,eval/std_reward,eval/deterministic,eval/std_ep_length,eval/mean_reward,eval/stage_timesteps,eval/mode_gap,eval/deterministic_full_coverage_rate,eval/deterministic_promotion_floor,eval/promotion_full_coverage_rate,eval/stochastic_full_coverage_rate,eval/promotion_passed,eval/diagnostic_full_coverage_rate
,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,307200,0.24,0.76,0.792,1.0,1.0,0,1.0
1,1532,7.4740166664123535,317440,34.15,3,,0.0010000000000000009,,,1,0.0001,,,200,3,,307200,,,,,5,1,,,,,,,,,,,,,,,
2,1031,7.548886775970459,322560,30.96,9,0.2,,0.0464453125,0.7169385552406311,,,0.054197464138269424,-0.23360896870493889,,,0.0001,,309,-0.00037477636244148015,0.008071383,0.10227230548858643,,,,,,,,,,,,,,,,,
3,950,7.655210018157959,327680,30.17,16,0.2,,0.0442578125,0.5682395696640015,,,0.0427689328789711,-0.2232579231262207,,,0.0001,,314,-0.0005518778366968035,0.0068954476,0.08883017569780349,,,,,,,,,,,,,,,,,
4,910,7.445311069488525,332800,33.39,22,0.2,,0.041796875,0.6452404260635376,,,0.032552365213632584,-0.19679010540246963,,,0.0001,,319,-0.0012291886657476425,0.005514032,0.06635868344455957,,,,,,,,,,,,,,,,,
5,887,7.651846885681152,337920,30.01,28,0.2,,0.044453125,0.7121003866195679,,,0.04139531031250954,-0.21720998451113702,,,0.0001,,324,-0.0013633186416700483,0.0068770936,0.0824636771902442,,,,,,,,,,,,,,,,,
6,873,7.635255813598633,343040,30.25,35,0.2,,0.0494140625,0.7317291498184204,,,0.0653131753206253,-0.21520358249545096,,,0.0001,,329,-0.00016283728182315828,0.005500261,0.07413328431546688,,,,,,,,,,,,,,,,,
7,863,7.56109619140625,348160,30.49,41,0.2,,0.0666796875,0.7278066277503967,,,0.02241867035627365,-0.20964250475168228,,,0.0001,,334,-0.0025856267986819146,0.008871355,0.07445665176957846,,,,,,,,,,,,,,,,,
8,854,7.4516191482543945,353280,35.29,47,0.2,,0.0446484375,0.7224147319793701,,,0.032970089465379715,-0.19661396041512488,,,0.0001,,339,-0.0025578241562470793,0.006262371,0.0702174624055624,,,,,,,,,,,,,,,,,
9,846,7.461880683898926,358400,33.31,54,0.2,,0.0525,0.7000004649162292,,,0.024756021797657013,-0.24275059014558792,,,0.0001,,344,-0.0007137213228270412,0.004587971,0.0891598940640688,,,,,,,,,,,,,,,,,
10,843,7.641278266906738,363520,30.21,60,0.2,,0.0494140625,0.7542084455490112,,,0.04241517558693886,-0.2399025997519493,,,0.0001,,349,2.857648767530918e-05,0.0046110987,0.09244528584182263,,,,,,,,,,,,,,,,,
,,,,,,0.2,,0.0412109375,0.7160512208938599,,,0.04136539250612259,-0.19581329196691513,,,0.0001,,354,-0.000739726172760129,0.0041882624,0.0938427522033453,,,1.0,31.34,1,0.3240158116269579,0,13.6734926043056,7.616056637763977,358400,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,0.82,57.15,1,4.172553324630369,1,67.00766747171551,5.763994371891021,358400,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,358400,0.18000000000000005,0.82,0.792,1.0,1.0,1,1.0
,,,,,,,,,,,,,,,,,,,,,,,,1.0,30.09,1,0.23659030624265712,0,10.463359881032476,7.64409637928009,358400,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,0.88,46.87,1,3.701695841417601,1,56.64956398773074,6.352380793094635,358400,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,358400,0.12,0.88,0.792,1.0,1.0,1,1.0
,,,,,,,,,,,,,,,,,,,,,,,,1.0,30.88,1,0.4792081540286233,0,18.0871667211866,7.609840700626373,358400,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,0.88,47.11,1,3.610760753846548,1,56.540055712742266,6.3861534523963925,358400,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,358400,0.12,0.88,0.792,1.0,1.0,1,1.0
1,1057,7.370948314666748,368640,60.74,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1516,7.029104709625244,373760,100.55,3,0.2,0.008,0.10203125,0.3242341876029968,0,0.0002,1.038220763206482,-0.32543920338153837,320,8,0.0002,0,359,0.0026966724684461952,0.011764789,1.7952335321903228,8,2,,,,,,,,,,,,,,,
2,994,6.6305155754089355,378880,131.53,10,0.2,,0.1022265625,0.5409777164459229,,,0.3021932542324066,-0.34807718098163604,,,0.0002,,364,0.0010227056383155285,0.0104260435,0.6688718900084496,,,,,,,,,,,,,,,,,
3,895,6.6416802406311035,384000,131.49,17,0.2,,0.0877734375,0.5094777345657349,,,0.26458197832107544,-0.34963014483451843,,,0.0002,,369,0.0009729517484083772,0.006441853,0.5944497469067573,,,,,,,,,,,,,,,,,
4,895,6.626014232635498,389120,132.84,22,0.2,,0.11149553571428572,0.5468349456787109,,,0.2782326936721802,-0.3405196709292276,,,0.0002,,373,0.004087744340566652,0.025155848,0.5407645080770765,,,,,,,,,,,,,,,,,
5,859,6.6214070320129395,394240,130.23,29,0.2,,0.105546875,0.49631649255752563,,,0.24858823418617249,-0.34676041692495346,,,0.0002,,378,0.0010786240221932531,0.011811251,0.5069458147883416,,,,,,,,,,,,,,,,,
6,838,6.665024280548096,399360,126.94,36,0.2,,0.0984375,0.3302026391029358,,,0.1980799436569214,-0.30718673169612887,,,0.0002,,383,0.00044649947201833126,0.013754648,0.4074382236599922,,,,,,,,,,,,,,,,,
