time/fps,time/iterations,time/total_timesteps,time/time_elapsed,train/clip_range,train/learning_rate,train/policy_gradient_loss,train/loss,train/explained_variance,train/n_updates,train/approx_kl,train/value_loss,train/clip_fraction,train/entropy_loss
1080,5,435200,23,0.2,0.0001,-0.007298040837049484,0.046482156962156296,0.7959063053131104,840,0.0055449493,0.15107146691530943,0.05505859375,-0.1986375416070223
1053,6,440320,29,0.2,0.0001,-0.004020534418523312,0.038552410900592804,0.8475981950759888,850,0.007660778,0.11321950182318688,0.0577734375,-0.20004683800041675
1042,7,445440,34,0.2,0.0001,-0.005306152303237468,0.06783383339643478,0.7289838790893555,860,0.006288033,0.14500388648360968,0.059375,-0.2190852804481983
1029,8,450560,39,0.2,0.0001,-0.005744507270865142,0.05531203746795654,0.7643870115280151,870,0.006140734,0.1371867833286524,0.04705078125,-0.19818184159696103
1021,9,455680,45,0.2,0.0001,-0.005205055023543537,0.05712689831852913,0.8442925810813904,880,0.008526015,0.15483865186572074,0.06494140625,-0.2700207371264696
1013,10,460800,50,0.2,0.0001,-0.0053782989666797225,0.06364277750253677,0.5763640403747559,890,0.007755714,0.1387315236032009,0.05333984375,-0.16473167896270752
1949,1,465920,2,0.2,0.0001,-0.0076603025104850534,0.09264609217643738,0.7512670755386353,900,0.007537499,0.16631586235016585,0.06802734375,-0.23917502619326114
1216,2,471040,8,0.2,0.0001,-0.005478682676330209,0.06849099695682526,0.7974535226821899,910,0.009084102,0.17227333527058364,0.07857421875,-0.30120957478880883
1099,3,476160,13,0.2,0.0001,-0.005411165244877339,0.09430421143770218,0.803779125213623,920,0.008374107,0.20450870774686336,0.06654296875,-0.31282984793186186
1072,4,481280,19,0.2,0.0001,-0.00858988065039739,0.05304740369319916,0.8294878005981445,930,0.009686703,0.1726324026286602,0.09,-0.33242407262325285
1060,5,486400,24,0.2,0.0001,-0.003829054357483983,0.08049383759498596,0.7758263349533081,940,0.0069944607,0.1664159841835499,0.059765625,-0.22553447246551514
1038,6,491520,29,0.2,0.0001,-0.007529535221401602,0.07567085325717926,0.605905294418335,950,0.008375326,0.21990290842950344,0.066953125,-0.21138615749776363
1032,7,496640,34,0.2,0.0001,-0.004222903961781412,0.06360373646020889,0.7402138113975525,960,0.008067278,0.18407911952584982,0.06802734375,-0.24232906252145767
1025,8,501760,39,0.2,0.0001,-0.0061722868890501555,0.054892025887966156,0.737217903137207,970,0.007565188,0.14724965021014214,0.0607421875,-0.17584948815405368
1018,9,506880,45,0.2,0.0001,-0.004462752908002585,0.07923036813735962,0.6863253116607666,980,0.007476191,0.14731122188270093,0.05697265625,-0.19859838359057902
1014,10,512000,50,0.2,0.0001,-0.00431593461195007,0.033762071281671524,0.8619315028190613,990,0.0066854605,0.13594856698065996,0.06267578125,-0.2519366542249918
2222,1,517120,2,0.2,0.0001,-0.005010472966823727,0.03190551698207855,0.7355953454971313,1000,0.005433448,0.14555712074041366,0.05509765625,-0.18898259557783603
1127,2,522240,9,0.2,0.0001,-0.006433676979504525,0.07086047530174255,0.7849588990211487,1010,0.00657703,0.1920963793620467,0.07578125,-0.31912365555763245
984,3,527360,15,0.2,0.0001,-0.007370678612496704,0.0683983862400055,0.7873015999794006,1020,0.006587792,0.1635256538912654,0.06302734375,-0.22798023097217082
939,4,532480,21,0.2,0.0001,-0.006017218048218638,0.07628484815359116,0.8516025543212891,1030,0.007914563,0.1882278260961175,0.06890625,-0.318425834774971
929,5,537600,27,0.2,0.0001,-0.006239121195394545,0.09298580884933472,0.8430588841438293,1040,0.008220586,0.22393964499235153,0.08576171875,-0.28152558900415897
932,6,542720,32,0.2,0.0001,-0.008055535224266351,0.12639828026294708,0.8668276071548462,1050,0.008243481,0.20405382856726648,0.07095703125,-0.2803006921708584
941,7,547840,38,0.2,0.0001,-0.0034143933095037936,0.09946288913488388,0.8257594108581543,1060,0.004651144,0.2333646885305643,0.04919921875,-0.23479827627539634
941,8,552960,43,0.2,0.0001,-0.004976530445273966,0.11553269624710083,0.8204565048217773,1070,0.0064790146,0.2681089787185192,0.07923828125,-0.275314284414053
943,9,558080,48,0.2,0.0001,-0.006976709996815771,0.08380929380655289,0.7896484136581421,1080,0.007506215,0.2160263741016388,0.05662109375,-0.22315698802471162
946,10,563200,54,0.2,0.0001,-0.003112908450420946,0.09797210246324539,0.6271055936813354,1090,0.006737762,0.22695118211209775,0.0641796875,-0.2126066815853119
1620,1,568320,3,0.2,0.0001,-0.007562774932011962,0.06630734354257584,0.7956312894821167,1100,0.0064062625,0.22355590604245662,0.06720703125,-0.24573986686766147
1218,2,573440,8,0.2,0.0001,-0.0077673194813542065,0.0813853070139885,0.7605725526809692,1110,0.00833775,0.2685170551389456,0.107109375,-0.3600056740641594
1080,3,578560,14,0.2,0.0001,-0.007687871335074306,0.06920142471790314,0.8226885199546814,1120,0.013443085,0.2151287979632616,0.12962890625,-0.5245170249044895
1026,4,583680,19,0.2,0.0001,-0.005963587975129485,0.11668528616428375,0.798270583152771,1130,0.011865215,0.2079981556162238,0.0851953125,-0.45819875195622445
1016,5,588800,25,0.2,0.0001,-0.005006589922122657,0.017374910414218903,0.8777012228965759,1140,0.0126046315,0.08824647077359259,0.09453125,-0.5001667486131192
1005,6,593920,30,0.2,0.0001,-0.004998146081343293,0.06982292234897614,0.7321653962135315,1150,0.010462257,0.2472316623479128,0.11111328125,-0.4567593541741371
