time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/explained_variance,train/clip_fraction,train/entropy_loss,train/clip_range,train/approx_kl,train/n_updates,train/value_loss,train/policy_gradient_loss,train/loss,train/learning_rate
768000,59,862,10,0.6735066175460815,0.09095703125,-0.40095986917614934,0.2,0.009443846,1488,0.19521808717399836,-0.007699604416266084,0.08053968846797943,0.0001
773120,3,1632,1,0.7110959887504578,0.08513671875,-0.3853458933532238,0.2,0.010097748,1498,0.2055758721753955,-0.0062234867410734295,0.06944860517978668,0.0001
778240,9,1053,2,0.7224547266960144,0.07064453125,-0.338550970107317,0.2,0.009565024,1508,0.17941310487687587,-0.003937950343824923,0.047649964690208435,0.0001
783360,16,951,3,0.7705861926078796,0.08162109375,-0.4494714751839638,0.2,0.008112379,1518,0.16835482232272625,-0.005076463208533824,0.055162232369184494,0.0001
788480,22,909,4,0.688510537147522,0.07771484375,-0.33597257658839225,0.2,0.010224026,1528,0.24954150594770907,-0.007003229451365769,0.11098083853721619,0.0001
793600,28,889,5,0.6795961856842041,0.06828125,-0.36204092383384706,0.2,0.0075426297,1538,0.26930317662656306,-0.006007680678740144,0.10176289081573486,0.0001
798720,35,875,6,0.7135292291641235,0.06951171875,-0.3489899243414402,0.2,0.008109497,1548,0.21997201822698118,-0.005947686708532273,0.06611010432243347,0.0001
803840,41,866,7,0.7698947191238403,0.0940234375,-0.41941002756357193,0.2,0.010849781,1558,0.21035696547478439,-0.009213379328139126,0.06631697714328766,0.0001
808960,47,861,8,0.746170699596405,0.08443359375,-0.4371952083706856,0.2,0.008861067,1568,0.2748174946010113,-0.004743180784862489,0.1702321320772171,0.0001
814080,53,856,9,0.7921834588050842,0.08626953125,-0.450100751966238,0.2,0.010063334,1578,0.2229362069442868,-0.005619693745393306,0.09343264997005463,0.0001
819200,60,852,10,0.8182984590530396,0.116796875,-0.5036961433291435,0.2,0.0120276585,1588,0.19474263790994883,-0.0055473559722304345,0.06031103432178497,0.0001
824320,3,1616,1,0.8652657866477966,0.09677734375,-0.43918073683977127,0.2,0.01616876,1598,0.17977665368467569,-0.006360245998948812,0.07127921283245087,0.0001
829440,9,1090,2,0.784387469291687,0.10181640625,-0.4437809316813946,0.2,0.011981227,1608,0.31037584982812405,-0.008108854519668966,0.12118729948997498,0.0001
834560,15,980,3,0.7144278287887573,0.1055078125,-0.4469959895312786,0.2,0.012230643,1618,0.35280534483492376,-0.00889565458172001,0.17325422167778015,0.0001
839680,21,936,4,0.7379035353660583,0.09091796875,-0.4007371309399605,0.2,0.011204579,1628,0.2558822057023644,-0.00711639249464497,0.10449174046516418,0.0001
