time/iterations,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,time/fps,train/policy_gradient_loss,train/clip_range,train/approx_kl,train/learning_rate,train/clip_fraction,train/loss,train/n_updates,train/explained_variance,train/entropy_loss,train/value_loss,train/stage_learning_rate,curriculum/stage,train/ent_coef,curriculum/max_steps,curriculum/obs_quantity,curriculum/stage_timesteps,curriculum/grid_size,curriculum/preferred_eval_mode,eval/mean_reward,eval/mean_ep_length,eval/deterministic,eval/full_coverage_rate,eval/std_reward,eval/stage,eval/std_ep_length,eval/stage_timesteps,eval/deterministic_full_coverage_rate,eval/stochastic_full_coverage_rate,eval/coverage_promotion_passed,eval/promotion_full_coverage_rate,eval/diagnostic_full_coverage_rate,eval/quality_promotion_passed,eval/promotion_max_mean_length,eval/promotion_passed,eval/mode_gap,eval/stochastic_quality_passed,eval/promotion_min_mean_reward,eval/deterministic_promotion_floor,eval/deterministic_quality_passed
5,7.188937187194824,171520,27,42.89,469,0.010021730725254332,0.2,0.014085026,7e-05,0.11941964285714286,0.1854044795036316,248,0.6950550079345703,-0.4908172594649451,0.2125109157391957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,7.45263671875,174080,38,39.44,403,-0.0060935189574956895,0.2,0.016161602,7e-05,0.12796875,0.06634300947189331,253,0.5785021185874939,-0.4311906427145004,0.07357004586607217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7.3586931228637695,176640,49,41.62,364,-0.006554747195914388,0.2,0.01685886,7e-05,0.123828125,0.018115205690264702,258,0.42524367570877075,-0.4152618408203125,0.07393289819359779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,7.055334568023682,179200,53,46.87,384,0.00850229393000956,0.2,0.022860736,7e-05,0.109375,0.1549488604068756,260,0.5918029546737671,-0.4374033808708191,0.119943390496903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,7.076709747314453,181760,56,45.17,408,0.008301509427838027,0.2,0.008117741,7e-05,0.06982421875,0.14257048070430756,261,0.7132794857025146,-0.4380898289382458,0.16892243712209165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,7.1951704025268555,184320,65,43.46,389,-0.002852173551218584,0.2,0.020821877,7e-05,0.1232421875,0.10240475088357925,265,0.5500296354293823,-0.41509357169270517,0.1340971991419792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,7.13446044921875,186880,67,45.17,416,0.0012197893112897873,0.2,0.0144947395,7e-05,0.0890625,0.35196608304977417,266,0.6944689750671387,-0.4040957152843475,0.1813182681798935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,7.4168171882629395,189440,71,38.6,429,0.008534867799392453,0.2,0.052412484,7e-05,0.11168981481481481,0.5814943313598633,268,0.6371508836746216,-0.43337147324173536,0.16994690308692278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,7.451913833618164,192000,74,38.61,445,0.007982651037829263,0.2,0.061323803,7e-05,0.07366071428571429,0.17344385385513306,270,0.6975101828575134,-0.4029928261325473,0.10574374223748843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,7.3818464279174805,194560,86,39.65,415,-0.0014627217035740614,0.2,0.015333213,7e-05,0.120859375,0.12467452883720398,275,0.707911491394043,-0.4127364104986191,0.07292993929237128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
