rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/fps,time/iterations,train/policy_gradient_loss,curriculum/grid_size,curriculum/max_steps,train/value_loss,train/learning_rate,curriculum/obs_quantity,train/loss,curriculum/stage,curriculum/stage_timesteps,train/approx_kl,train/clip_fraction,curriculum/preferred_eval_mode,train/stage_learning_rate,train/n_updates,train/ent_coef,train/clip_range,train/entropy_loss,train/explained_variance,eval/stage,eval/mean_reward,eval/stage_timesteps,eval/mean_ep_length,eval/std_ep_length,eval/full_coverage_rate,eval/deterministic,eval/std_reward,eval/deterministic_full_coverage_rate,eval/diagnostic_full_coverage_rate,eval/mode_gap,eval/stochastic_full_coverage_rate,eval/promotion_full_coverage_rate
29.17,409600,53,7.595777988433838,857,9,-0.004018647838383913,,,0.050121472701430324,0.0001,,0.01033322885632515,,,0.0060827015,0.05265625,,,395,,0.2,-0.16204252377152442,0.758000910282135,,,,,,,,,,,,,
28.89,414720,60,7.533073902130127,853,10,-0.003816114803776145,,,0.05073202766478062,0.0001,,0.012666096910834312,,,0.007043758,0.0544921875,,,400,,0.2,-0.16193873733282088,0.7149644494056702,,,,,,,,,,,,,
,,,,,,-0.004072477612644434,,,0.04140147641301155,0.0001,,0.010123657993972301,,,0.0065188757,0.052109375,,,405,,0.2,-0.1419870989769697,0.7823328971862793,1,7.585857763290405,409600,29.31,13.25344860781525,1.0,0,0.369931334740712,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1,6.193289663791656,409600,48.39,58.700919072873134,0.87,1,3.832987106619648,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1,,409600,,,,,,0.87,1.0,0.13,1.0,0.87
31.36,419840,3,7.532591342926025,1529,1,,5,200,,,3,,1,409600,,,1,0.0001,,0.0010000000000000009,,,,,,,,,,,,,,,,
27.46,424960,9,7.646056652069092,1039,2,-0.003065089536830783,,,0.056120676323771476,0.0001,,0.03456108272075653,,,0.007920457,0.0537890625,,,410,,0.2,-0.16895542085170745,0.7613050937652588,,,,,,,,,,,,,
32.41,430080,16,7.3813018798828125,953,3,-0.0019619433116167782,,,0.04751058291643858,0.0001,,0.052668459713459015,,,0.0063605616,0.0491796875,,,415,,0.2,-0.16050236642360688,0.7605870366096497,,,,,,,,,,,,,
27.61,435200,22,7.628756046295166,917,4,-0.0023207026859745385,,,0.05399028435349464,0.0001,,0.028096912428736687,,,0.006538375,0.044296875,,,420,,0.2,-0.16799098387360573,0.6782349348068237,,,,,,,,,,,,,
31.82,440320,29,7.457580089569092,881,5,-0.0023780608829110862,,,0.03585704540833831,0.0001,,0.001396792009472847,,,0.010488809,0.040234375,,,425,,0.2,-0.1518378695100546,0.6652717590332031,,,,,,,,,,,,,
30.12,445440,35,7.582796096801758,874,6,-0.004755434379912913,,,0.059166061580181124,0.0001,,0.014957827515900135,,,0.006032311,0.054296875,,,430,,0.2,-0.22260078728199006,0.7765937447547913,,,,,,,,,,,,,
29.78,450560,41,7.5778303146362305,862,7,-0.00311009983997792,,,0.044997754693031314,0.0001,,0.02240515872836113,,,0.005222881,0.05203125,,,435,,0.2,-0.19142279893159866,0.7584242224693298,,,,,,,,,,,,,
29.74,455680,48,7.582125186920166,850,8,-0.004239580910652876,,,0.0405297090113163,0.0001,,0.005025818943977356,,,0.007820962,0.0639453125,,,440,,0.2,-0.1753196233510971,0.672317385673523,,,,,,,,,,,,,
28.95,460800,54,7.5790629386901855,845,9,-0.0015363474562764168,,,0.04390474447980523,0.0001,,0.009399950504302979,,,0.00608645,0.044453125,,,445,,0.2,-0.16417012438178064,0.7180839776992798,,,,,,,,,,,,,
